"Tag Code","Mark File Name","Site Name","First Time Value","Last Time Value","First Antenna Group Name","Last Antenna Group Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Release Site Name","Count"
"3D9.1BF15F3F94","DMM02253.W1A","MRB - Methow River Basin","5/1/2006 11:17:47 AM","5/5/2006 5:33:13 PM","LIBBY CREEK NEAR MOUTH","LIBBY CREEK NEAR MOUTH","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF15FB190","DMM02255.W1A","MRB - Methow River Basin","4/22/2006 5:26:48 PM","4/22/2006 5:32:21 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF160372B","DMM03121.WR3","WHS - Wildhorse Spring Creek","3/7/2016 7:25:12 AM","3/7/2016 7:25:12 AM","Single Antenna","Single Antenna","5/1/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF161AE06","DMM03126.WR2","MRB - Methow River Basin","5/11/2006 2:39:39 PM","5/11/2006 2:39:39 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","5/6/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF16230B8","DMM03125.WR2","CRU - Upper Chewuch Instream Array","5/11/2019 7:47:09 PM","5/11/2019 7:56:00 PM","Upstream Array","Upstream Array","5/5/2003","3","Steelhead","2","Summer","H","Hatchery Reared","CHEWUR - Chewuch River","1"
"3D9.1BF1624112","DMM03126.WR4","MRB - Methow River Basin","4/20/2006 9:49:39 PM","4/29/2006 5:39:45 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","5/6/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF16284CB","DMM03118.WR2","OMK - Omak Creek Instream Array","4/17/2006 5:05:46 AM","4/17/2006 5:05:46 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/28/2003","3","Steelhead","2","Summer","H","Hatchery Reared","CHEWUR - Chewuch River","1"
"3D9.1BF162C48B","DMM03127.WR2","OMK - Omak Creek Instream Array","4/6/2006 3:31:03 AM","4/6/2006 3:31:03 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF162E393","DMM02263.W3B","OMK - Omak Creek Instream Array","4/29/2006 12:56:09 AM","4/29/2006 12:56:09 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF1634A09","DMM02267.W3A","OMK - Omak Creek Instream Array","3/25/2006 12:49:08 AM","3/25/2006 12:49:08 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF1635ECC","DMM03127.WR3","OMK - Omak Creek Instream Array","4/16/2006 10:26:33 PM","4/16/2006 10:26:33 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF1638212","DMM03132.ARM","MRB - Methow River Basin","5/11/2006 5:08:27 AM","5/11/2006 5:08:27 AM","LIBBY CREEK NEAR MOUTH","LIBBY CREEK NEAR MOUTH","5/12/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWIS2P - Twisp Acclimation Pond (Methow Salmon Recovery Foundation)","1"
"3D9.1BF1638963","DMM02262.W3A","OMK - Omak Creek Instream Array","5/4/2006 1:17:27 AM","5/4/2006 9:01:07 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF1638D91","DMM03122.WR","MRB - Methow River Basin","4/6/2006 7:05:49 PM","4/6/2006 7:12:11 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","5/2/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF1639EDB","DMM03127.WR3","OMK - Omak Creek Instream Array","3/23/2006 8:52:05 PM","3/23/2006 8:52:05 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF16F2020","DMM03129.WR","OMK - Omak Creek Instream Array","4/24/2006 3:55:35 PM","4/24/2006 3:55:35 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/9/2003","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF16F276A","DMM02274.W3A","OMK - Omak Creek Instream Array","3/25/2006 2:00:33 AM","3/25/2006 2:00:35 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF16F27DC","DMM03127.WR2","OMK - Omak Creek Instream Array","3/31/2006 9:40:36 PM","4/25/2012 7:52:27 PM","IN-STREAM ARRAY","UPSTREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF16FD7F6","DMM03127.WR3","OMK - Omak Creek Instream Array","3/24/2006 2:03:55 AM","3/24/2006 2:03:55 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF170B024","DMM03128.WR2","MRB - Methow River Basin","5/3/2006 7:24:28 PM","5/3/2006 7:24:28 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","5/8/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OKANR - Okanogan River","1"
"3D9.1BF1711423","DMM03127.WR2","OMK - Omak Creek Instream Array","4/5/2006 2:40:37 AM","4/5/2006 2:40:37 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF171F454","DMM03115.WR","MRB - Methow River Basin","4/23/2006 7:33:46 AM","4/25/2006 5:25:20 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/25/2003","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF172C207","DMM03128.WR2","NMC - Ninemile Creek Instream Array","4/30/2017 8:56:51 AM","4/30/2017 10:53:56 AM","UPSTREAM ANTENNA","DOWNSTREAM MIDDLE ANTENNA","5/8/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OKANR - Okanogan River","1"
"3D9.1BF172E64C","DMM03127.WR2","OMK - Omak Creek Instream Array","3/31/2006 2:47:03 AM","3/31/2006 2:47:03 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF1730C0C","DMM02269.W1A","OMK - Omak Creek Instream Array","3/31/2006 9:50:38 PM","3/31/2006 9:50:38 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF1734315","DMM03127.WR2","OMK - Omak Creek Instream Array","4/7/2006 3:19:27 PM","4/7/2006 3:19:27 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF174FD09","DMM02267.W3A","OMK - Omak Creek Instream Array","3/30/2006 1:26:47 AM","3/30/2006 1:26:47 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF17514C0","DMM03119.X09","MRB - Methow River Basin","5/4/2006 7:27:35 PM","5/4/2006 7:27:56 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/28/2003","3","Steelhead","2","Summer","H","Hatchery Reared","NASONC - Nason Creek (tributary to Wenatchee River)","1"
"3D9.1BF17A3846","DMM02255.W3A","OKL - Lower Okanogan Instream Array","5/15/2016 5:39:26 AM","5/15/2016 8:03:41 AM","Upstream Array","Downstream Array","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF17A53FF","DMM02255.W2A","MRB - Methow River Basin","4/26/2006 4:16:30 AM","4/26/2006 4:16:30 AM","LIBBY CREEK NEAR MOUTH","LIBBY CREEK NEAR MOUTH","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF17E1BE2","DMM03120.X06","MRB - Methow River Basin","4/25/2006 5:30:46 PM","4/27/2006 7:39:39 PM","GOLD CREEK NEAR MOUTH","LIBBY CREEK NEAR MOUTH","4/30/2003","3","Steelhead","2","Summer","H","Hatchery Reared","NASONC - Nason Creek (tributary to Wenatchee River)","1"
"3D9.1BF17F08EA","DMM03115.WR","OMK - Omak Creek Instream Array","4/19/2006 10:31:41 PM","4/26/2006 6:04:59 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/25/2003","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF1802E80","DMM03119.X04","MRB - Methow River Basin","4/9/2006 1:03:43 PM","4/17/2006 2:36:42 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/29/2003","3","Steelhead","2","Summer","H","Hatchery Reared","CHIWAR - Chiwawa River","1"
"3D9.1BF1890B02","DMM05112.WR1","OMK - Omak Creek Instream Array","4/30/2007 5:12:26 AM","4/30/2007 2:40:48 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/22/2005","3","Steelhead","2","Summer","H","Hatchery Reared","CHEWUR - Chewuch River","1"
"3D9.1BF18914B0","DMM05129.WR1","OMK - Omak Creek Instream Array","4/27/2008 11:28:51 AM","4/27/2008 12:04:11 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/9/2005","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF1891F57","DMM05117.WR5","MRB - Methow River Basin","5/22/2007 7:56:42 AM","5/22/2007 8:16:54 AM","BEAVER CREEK MUX AT RKM 5","BEAVER CREEK AT RKM 4","4/27/2005","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF18937B0","DMM05153.OR1","MRB - Methow River Basin","4/20/2007 11:55:30 AM","4/24/2007 2:45:28 AM","BEAVER CREEK MUX AT RKM 5","BEAVER CREEK MUX AT RKM 5","6/2/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWIS2P - Twisp Acclimation Pond (Methow Salmon Recovery Foundation)","1"
"3D9.1BF189738B","DMM05117.WR3","OMK - Omak Creek Instream Array","4/25/2007 10:32:49 PM","4/25/2007 10:37:09 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/27/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF1898808","DMM04272.W3B","OMK - Omak Creek Instream Array","4/11/2007 7:33:14 PM","5/6/2007 11:40:42 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/19/2005","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF189A141","DMM05153.OR1","MRB - Methow River Basin","5/1/2007 5:54:34 PM","5/1/2007 5:54:34 PM","LOWER BEAVER CREEK AT RKM 2","LOWER BEAVER CREEK AT RKM 2","6/2/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWIS2P - Twisp Acclimation Pond (Methow Salmon Recovery Foundation)","1"
"3D9.1BF189C60E","DMM05115.WR3","BPC - Bonaparte Creek Instream Array","3/6/2014 12:58:43 AM","3/6/2014 5:03:33 PM","Three Antenna Series","Three Antenna Series","4/25/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF189C60E","DMM05115.WR3","OMK - Omak Creek Instream Array","3/20/2007 8:05:02 PM","3/21/2007 8:30:56 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/25/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF189D360","DMM05119.WR2","OMK - Omak Creek Instream Array","4/9/2007 2:57:35 AM","6/3/2007 12:37:22 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/29/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF189D970","DMM05118.WR1","MRB - Methow River Basin","5/6/2007 7:08:58 PM","5/31/2007 10:21:40 AM","BEAVER CREEK MUX AT RKM 5","BEAVER CREEK MUX AT RKM 5","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF189F3E2","DMM05118.WR1","MRB - Methow River Basin","4/22/2007 9:28:21 PM","4/29/2007 2:04:35 AM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18AE223","DMM05115.WR3","MRB - Methow River Basin","5/6/2007 11:22:27 PM","5/7/2007 4:21:51 AM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/25/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18AE26A","DMM05117.WR3","OMK - Omak Creek Instream Array","5/31/2007 9:25:58 AM","5/31/2007 3:30:59 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/27/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18AEEA2","DMM05115.WR3","MRB - Methow River Basin","5/2/2007 4:20:00 PM","5/6/2007 3:39:43 PM","BEAVER CREEK MUX AT RKM 5","BEAVER CREEK MUX AT RKM 5","4/25/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18BA64C","DMM05118.WR1","TWR - Lwr Twisp Rvr near MSRF Ponds","4/8/2009 6:45:30 PM","4/28/2009 11:08:14 PM","LOWER IN-STREAM ARRAY","LOWER IN-STREAM ARRAY","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18BD51C","DMM05115.WR3","TWR - Lwr Twisp Rvr near MSRF Ponds","4/10/2009 10:44:32 PM","4/10/2009 10:44:59 PM","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY","4/25/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18BE20F","DMM05110.WR1","OMK - Omak Creek Instream Array","4/20/2007 11:32:20 PM","4/20/2007 11:33:16 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/20/2005","3","Steelhead","2","Summer","H","Hatchery Reared","CHEWUR - Chewuch River","1"
"3D9.1BF18BEEBA","DMM05118.WR3","MRB - Methow River Basin","4/10/2007 2:07:37 PM","4/27/2007 3:47:09 PM","GOLD CREEK NEAR MOUTH","LOWER BEAVER CREEK AT RKM 2","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF18BF413","DMM05118.WR2","OMK - Omak Creek Instream Array","5/2/2007 1:10:47 PM","5/2/2007 1:10:47 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF18BF6DB","DMM05117.WR1","MRB - Methow River Basin","4/11/2007 4:46:44 PM","4/11/2007 5:21:40 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/27/2005","3","Steelhead","2","Summer","H","Hatchery Reared","CHEWUR - Chewuch River","1"
"3D9.1BF18BFD0A","DMM05118.WR1","MRB - Methow River Basin","5/8/2008 12:20:30 PM","5/8/2008 12:24:41 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18C3FB3","DMM05118.WR2","MRB - Methow River Basin","5/3/2007 9:41:05 AM","5/3/2007 9:41:15 AM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF18C45D3","DMM05153.OR1","MRB - Methow River Basin","4/22/2008 1:50:17 PM","5/12/2008 1:03:31 PM","LOWER BEAVER CREEK AT RKM 2","LOWER BEAVER CREEK AT RKM 2","6/2/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWIS2P - Twisp Acclimation Pond (Methow Salmon Recovery Foundation)","1"
"3D9.1BF18C54F2","DMM05109.WR1","MRB - Methow River Basin","4/16/2007 10:03:48 AM","4/26/2007 8:07:44 AM","GOLD CREEK NEAR MOUTH","SOUTH FORK GOLD CREEK AT RKM 4","4/19/2005","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF18C8C3D","DMM05117.WR4","OMK - Omak Creek Instream Array","5/2/2008 3:18:27 AM","5/4/2008 12:38:31 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/27/2005","3","Steelhead","2","Summer","H","Hatchery Reared","CHEWUR - Chewuch River","1"
"3D9.1BF18C9CC2","DMM05115.WR3","MRB - Methow River Basin","3/31/2007 1:21:18 AM","5/3/2007 1:44:45 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/25/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18CB6A6","DMM05119.WR2","MRB - Methow River Basin","4/22/2007 8:09:19 PM","5/4/2007 12:08:41 AM","LOWER BEAVER CREEK AT RKM 2","LOWER BEAVER CREEK AT RKM 2","4/29/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF18CF0FA","DMM05115.WR2","MRB - Methow River Basin","5/7/2007 10:15:07 PM","5/7/2007 10:15:07 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/25/2005","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF18CF6FF","JKB06060.RRC","LMR - Lower Methow River at Pateros","3/21/2009 7:43:10 PM","3/21/2009 7:43:10 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/1/2006","3","Steelhead","2","Summer","H","Hatchery Reared","REDP - Red River Rearing Pond","1"
"3D9.1BF18D7910","DMM05124.ER4","MRB - Methow River Basin","4/14/2008 7:59:32 PM","4/16/2008 4:01:06 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","5/4/2005","3","Steelhead","2","Summer","H","Hatchery Reared","NASONC - Nason Creek (tributary to Wenatchee River)","1"
"3D9.1BF18D79E2","DMM05118.WR5","OMK - Omak Creek Instream Array","4/13/2007 2:47:12 AM","4/13/2007 2:47:53 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF18D8954","DMM05117.WR1","OMK - Omak Creek Instream Array","3/14/2007 2:11:56 AM","3/14/2007 4:12:31 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/27/2005","3","Steelhead","2","Summer","H","Hatchery Reared","CHEWUR - Chewuch River","1"
"3D9.1BF18D9172","DMM05116.WR2","MRB - Methow River Basin","5/18/2007 2:38:52 PM","5/22/2007 8:38:47 AM","BEAVER CREEK MUX AT RKM 5","BEAVER CREEK AT RKM 4","4/26/2005","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF18DA802","DMM05109.WR1","MRB - Methow River Basin","4/26/2007 1:19:34 PM","4/28/2007 2:23:34 PM","LIBBY CREEK AT RKM 2","LIBBY CREEK AT RKM 2","4/19/2005","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF18E053B","DMM05153.OR1","MRB - Methow River Basin","4/28/2007 4:06:48 PM","5/10/2007 4:45:42 AM","BEAVER CREEK MUX AT RKM 5","UPPER BEAVER CREEK AT RKM 14","6/2/2005","3","Steelhead","2","Summer","H","Hatchery Reared","TWIS2P - Twisp Acclimation Pond (Methow Salmon Recovery Foundation)","1"
"3D9.1BF18E5993","DMM05118.WR3","OMK - Omak Creek Instream Array","5/3/2007 12:32:57 AM","5/3/2007 12:33:23 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF18E6CFA","DMM05118.WR2","OMK - Omak Creek Instream Array","5/5/2007 8:24:57 AM","5/5/2007 8:24:57 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/28/2005","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF18E7B08","DMM05130.WR1","BPC - Bonaparte Creek Instream Array","5/26/2013 12:43:05 PM","3/6/2014 5:37:48 AM","Three Antenna Series","Three Antenna Series","5/10/2005","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF192A9BD","DMM04120.WR3","OMK - Omak Creek Instream Array","3/23/2006 11:39:36 PM","3/23/2006 11:39:36 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/29/2004","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF1944231","DMM03248.W1A","OMK - Omak Creek Instream Array","4/6/2007 9:34:40 PM","4/6/2007 9:53:00 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/21/2004","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF1944FB5","DMM04120.WR1","OMK - Omak Creek Instream Array","3/19/2007 11:49:26 PM","3/19/2007 11:49:26 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/29/2004","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF1958BF5","DMM05119.WR1","OMK - Omak Creek Instream Array","4/19/2007 9:32:54 PM","4/20/2007 1:32:34 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/29/2005","3","Steelhead","2","Summer","H","Hatchery Reared","SIMILR - Similkameen River","1"
"3D9.1BF195907B","DMM05117.WR2","MRB - Methow River Basin","6/8/2007 3:40:27 PM","6/8/2007 3:40:27 PM","LIBBY CREEK AT RKM 2","LIBBY CREEK AT RKM 2","4/27/2005","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF1998548","DMM04110.ER5","MRB - Methow River Basin","5/9/2006 4:34:49 AM","5/9/2006 4:34:49 AM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/19/2004","3","Steelhead","2","Summer","H","Hatchery Reared","NASONC - Nason Creek (tributary to Wenatchee River)","1"
